"codigoEvento";"tipoEvento";"codigoTCE";"naturezaEvento"
"1900";"VENCIMENTO";"N";"N"
"1901";"VENCIMENTO";"N";"N"
"1902";"VENCIMENTO";"N";"N"
"1903";"VENCIMENTO";"N";"N"
"1904";"DESCONTO";"N";"N"
"1905";"VENCIMENTO";"N";"N"
"1906";"VENCIMENTO";"N";"N"
"1907";"VENCIMENTO";"N";"N"
"1908";"VENCIMENTO";"N";"N"
"1909";"INFORMATIVO_MAIS";"10";"D"
"1910";"VENCIMENTO";"99";"G"
"1911";"DESCONTO";"98";"D"
"1912";"INFORMATIVO_MAIS";"10";"D"
"1913";"DESCONTO";"8";"D"
"1914";"DESCONTO";"8";"D"
"1915";"VENCIMENTO";"99";"G"
"1916";"VENCIMENTO";"99";"G"
"1917";"DESCONTO";"8";"D"
"1918";"VENCIMENTO";"N";"N"
"1919";"VENCIMENTO";"N";"N"
"1920";"VENCIMENTO";"N";"N"
"1921";"VENCIMENTO";"N";"N"
"1922";"VENCIMENTO";"99";"G"
"1923";"VENCIMENTO";"N";"N"
"1924";"VENCIMENTO";"N";"N"
"1925";"VENCIMENTO";"N";"N"
"1926";"VENCIMENTO";"N";"N"
"1927";"VENCIMENTO";"N";"N"
"1928";"VENCIMENTO";"N";"N"
"1929";"DESCONTO";"515";"D"
"1930";"VENCIMENTO";"N";"N"
"1931";"VENCIMENTO";"99";"G"
"1932";"VENCIMENTO";"N";"G"
"1933";"DESCONTO";"509";"D"
"1934";"DESCONTO";"N";"N"
"1935";"INFORMATIVO_MAIS";"N";"N"
"1936";"DESCONTO";"505";"D"
"1937";"VENCIMENTO";"99";"G"
"1938";"VENCIMENTO";"N";"N"
"1939";"VENCIMENTO";"N";"N"
"1940";"DESCONTO";"509";"D"
"1941";"DESCONTO";"509";"D"
"1942";"VENCIMENTO";"99";"G"
"1943";"VENCIMENTO";"99";"G"
"1944";"VENCIMENTO";"99";"G"
"1955";"VENCIMENTO";"99";"G"
"1956";"VENCIMENTO";"99";"G"
"1957";"VENCIMENTO";"99";"G"
"1958";"DESCONTO";"N";"N"
"1959";"DESCONTO";"505";"D"
"1960";"VENCIMENTO";"99";"G"
"1961";"VENCIMENTO";"99";"G"
"1962";"INFORMATIVO_MAIS";"99";"G"
"1963";"VENCIMENTO";"N";"N"
